Treatment Effect,Lower Treatment Effect,Upper Treatment Effect
-0.17332575228730482,-0.21843760936060805,-0.12821389521400162
-0.16218310786663978,-0.24730393357297895,-0.07706228216030063
-0.15038768073228617,-0.24598440023971918,-0.0547909612248529
-0.18124271825688437,-0.27123641310166335,-0.09124902341210547
-0.1828074330084417,-0.22900301768298667,-0.13661184833389683
-0.13383658860683645,-0.19195276252653223,-0.07572041468714068
-0.2241669474410729,-0.3048853750337076,-0.1434485198484381
-0.10332772716246402,-0.1798266001185825,-0.02682885420634555
-0.17652328088420358,-0.26403791872037813,-0.089008643048029
-0.19668784766848102,-0.24751883753404108,-0.14585685780292088
-0.1758950563228715,-0.22574818203644165,-0.12604193060930133
-0.15499246285032323,-0.25153675025458855,-0.05844817544605811
-0.15279546422710236,-0.2446424238263822,-0.06094850462782257
-0.17389181849981009,-0.23190482182265876,-0.11587881517696141
-0.1591695951539343,-0.22006336094288065,-0.09827582936498798
-0.09169469208977052,-0.1737309247605217,-0.009658459419019369
-0.19660462401365097,-0.23564827424493706,-0.1575609737823649
-0.20111210926666495,-0.23589105629276247,-0.16633316224056757
-0.20330509786436296,-0.25731218444381704,-0.14929801128490888
-0.13427910421815845,-0.3229619985231404,0.054403790086823306
-0.16729985152955615,-0.21739508203320906,-0.11720462102590323
-0.16004653521541268,-0.2622028300041511,-0.0578902404266745
-0.1913064495304838,-0.24933614518533162,-0.1332767538756359
-0.13760083407301602,-0.26875176888535646,-0.006449899260675351
-0.16811981123057992,-0.2037297507125755,-0.13250987174858433
-0.10791354160978212,-0.23160057479532958,0.015773491575765297
-0.11281220162348933,-0.21036473745291345,-0.015259665794065416
-0.19862930083708946,-0.2360607858340625,-0.16119781584011647
-0.1706958833630049,-0.29046604997141673,-0.05092571675459327
-0.15968949063702917,-0.23016815136742677,-0.08921082990663164
-0.1846330604158707,-0.24301186835592792,-0.12625425247581365
-0.18932204107846282,-0.22569643223963165,-0.15294764991729398
-0.19907774357585056,-0.2547306459475523,-0.14342484120414872
-0.21466404693506702,-0.26492613047149866,-0.1644019633986354
-0.1996581647487082,-0.25099192021494104,-0.148324409282475
-0.11037390190539689,-0.16925365119327085,-0.05149415261752304
-0.1907254791812332,-0.2495824224968965,-0.1318685358655699
-0.12117467899836415,-0.22935971144735,-0.0129896465493783
-0.1847400232285682,-0.25690539833399195,-0.11257464812314445
-0.18755609844519708,-0.24202977204654263,-0.13308242484385147
-0.2068117000178277,-0.3120854590508205,-0.10153794098483489
-0.1490028034925435,-0.29629667115072755,-0.0017089358343594374
-0.20956461001218177,-0.32075767902076674,-0.09837154100359687
-0.2249392478178424,-0.32321185665089147,-0.1266666389847933
-0.17195572359156713,-0.24081539059136053,-0.10309605659177375
-0.1702988209401816,-0.23950557391934707,-0.10109206796101633
-0.20355412809840345,-0.25495260109632356,-0.15215565510048362
-0.15339242134304834,-0.2665362715334454,-0.040248571152651236
-0.15591839796065238,-0.2962488975876082,-0.015587898333696476
-0.20189513513625007,-0.27983873727785935,-0.12395153299464079
-0.1684175883073677,-0.20847986895950957,-0.12835530765522582
-0.18418257284422695,-0.2602614738684984,-0.10810367181995544
-0.18153748566608102,-0.22056221305077114,-0.1425127582813909
-0.1854267816399333,-0.23611450175673204,-0.13473906152313453
-0.1683394427788675,-0.24679093881299136,-0.08988794674474362
-0.18490958966709467,-0.23898112938524543,-0.13083804994894402
-0.13900088011781506,-0.2788269820809869,0.0008252218453567162
-0.17609996566099895,-0.47617134816970175,0.12397141684770382
-0.1621852147133418,-0.21580876837716617,-0.10856166104951738
-0.1985272606736758,-0.2808216961352189,-0.11623282521213264
-0.0929412394337395,-0.3963837222460194,0.2105012433785407
-0.20318553957872476,-0.24432664834251858,-0.16204443081493106
-0.19343013476803705,-0.23472171701367178,-0.15213855252240233
-0.20285858541942006,-0.24221480151025299,-0.16350236932858705
